cgdivision,ownergroup,pmnum,pmdescription,jpdescription,nexttrigger,unitstogo,alias,assetdescription,locdescription,metername,lastreading,pmstatus,assetstatus,assetnum,frequency,tolerance,wonum,wodescription,reportdate,lastpmwogenread,dayslate,curjpdescription,unitslate
String,String,String,String,String,Float,Float,String,String,String,String,Float,String,String,String,Float,Float,String,String,DateTime,Float,Integer,String,Integer
TRANSIT,TR-WESTNEY-WO,PM36757,8612 - SERVICE INSPECTION,CONVENTIONAL NEW FLYER - B SERVICE,1041361,9539,8612,2012 - CONVENTIONAL NEW FLYER- 8612,DRT WESTNEY GARAGE,ODOMETER,1031822,ACTIVE,OPERATING,1200190,10000,1000,T1072074,8612 - SERVICE INSPECTION,2026-02-07 3:02,1030587,5,CONVENTIONAL NEW FLYER - A SERVICE,461
TRANSIT,TR-RALEIGH-WO,PM37356,7111 - SERVICE INSPECTION,CONVENTIONAL NOVA - A SERVICE,320005,9572,7111,2021 - CONVENTIONAL NOVA - 7111,DRT RALEIGH GARAGE,ODOMETER,310433,ACTIVE,OPERATING,1200435,10000,1000,T1067603,7111 - SERVICE INSPECTION,2025-12-01 0:06,310005,71,CONVENTIONAL NOVA - B SERVICE,428
TRANSIT,TR-RALEIGH-WO,PM37360,7112 - SERVICE INSPECTION,CONVENTIONAL NOVA - B SERVICE,390334,9800,7112,2021 - CONVENTIONAL NOVA - 7112,DRT RALEIGH GARAGE,ODOMETER,380534,ACTIVE,OPERATING,1200436,10000,1000,T1072248,7112 - SERVICE INSPECTION,2026-02-10 3:04,379813,2,CONVENTIONAL NOVA - A SERVICE,200
TRANSIT,TR-RALEIGH-WO,PM37205,4102 - SERVICE INSPECTION,ADMIN - A SERVICE,45182,4812,4102,2019 - FORD F-250 - 4102,DRT RALEIGH GARAGE,ODOMETER,40370,ACTIVE,OPERATING,1200333,5000,1000,T1070361,4102 - SERVICE INSPECTION,2026-01-15 3:03,39517,28,ADMIN - A SERVICE,188
TRANSIT,TR-RALEIGH-WO,PM36589,8559 - SERVICE INSPECTION,CONVENTIONAL NOVA - A SERVICE,809040,9827,8559,2015 - CONVENTIONAL NOVA LFS- 8559,DRT RALEIGH GARAGE,ODOMETER,799213,ACTIVE,OPERATING,1200148,10000,1000,T1072329,8559 - SERVICE INSPECTION,2026-02-11 3:02,798348,1,CONVENTIONAL NOVA - B SERVICE,173
TRANSIT,TR-WESTNEY-WO,PM64352,8590 - SERVICE INSPECTION,CONVENTIONAL NEW FLYER - A SERVICE,853119,9886,8590,2014 - CONVENTIONAL NEW FLYER - 8590,DRT WESTNEY GARAGE,ODOMETER,843233,ACTIVE,OPERATING,1566388,10000,1000,T1072236,8590 - SERVICE INSPECTION,2026-02-10 3:00,842238,2,CONVENTIONAL NEW FLYER - D SERVICE,114
TRANSIT,TR-WESTNEY-WO,PM36829,8710 - SERVICE INSPECTION,ADMIN - A SERVICE,127703,4895,8710,2013 - FORD 350 - PICK UP - 8710,DRT WESTNEY GARAGE,ODOMETER,122808,ACTIVE,OPERATING,1200208,5000,1000,T1068701,8710 - SERVICE INSPECTION,2025-12-17 3:02,121719,56,ADMIN - A SERVICE,105
TRANSIT,TR-RALEIGH-WO,PM36405,8510 - SERVICE INSPECTION,CONVENTIONAL NEW FLYER - A SERVICE,1123345,9909,8510,2011 - CONVENTIONAL NEW FLYER - 8510,DRT RALEIGH GARAGE,ODOMETER,1113436,ACTIVE,OPERATING,1200102,10000,1000,T1072072,8510 - SERVICE INSPECTION,2026-02-07 3:01,1112587,5,CONVENTIONAL NEW FLYER - C SERVICE,91
TRANSIT,TR-RALEIGH-WO,PM36701,8587 - SERVICE INSPECTION,CONVENTIONAL NOVA - A SERVICE,692576,9966,8587,2017 - CONVENTIONAL NOVA  - 8587,DRT RALEIGH GARAGE,ODOMETER,682610,ACTIVE,OPERATING,1200176,10000,1000,T1072240,8587 - SERVICE INSPECTION,2026-02-10 3:02,681713,2,CONVENTIONAL NOVA - B SERVICE,34
TRANSIT,TR-RALEIGH-WO,PM36601,8562 - SERVICE INSPECTION,CONVENTIONAL NOVA - A SERVICE,726221,10088,8562,2016 - CONVENTIONAL NOVA LFS- 8562,DRT RALEIGH GARAGE,ODOMETER,716133,ACTIVE,OPERATING,1200151,10000,1000,T1071499,8562 - SERVICE INSPECTION,2026-01-30 3:01,715607,13,CONVENTIONAL NOVA - B SERVICE,0
TRANSIT,TR-WESTNEY-WO,PM36417,8513 - SERVICE INSPECTION,CONVENTIONAL NEW FLYER - A SERVICE,1126579,10120,8513,2011 - CONVENTIONAL NEW FLYER - 8513,DRT WESTNEY GARAGE,ODOMETER,1116459,ACTIVE,OPERATING,1200105,10000,1000,T1072324,8513 - SERVICE INSPECTION,2026-02-11 3:00,1115695,1,CONVENTIONAL NEW FLYER - B SERVICE,0
TRANSIT,TR-WESTNEY-WO,PM36381,8504 - SERVICE INSPECTION,CONVENTIONAL NEW FLYER - B SERVICE,1219902,10141,8504,2011 - CONVENTIONAL NEW FLYER - 8504,DRT WESTNEY GARAGE,ODOMETER,1209761,ACTIVE,OPERATING,1200096,10000,1000,T1072325,8504 - SERVICE INSPECTION,2026-02-11 3:00,1208930,1,CONVENTIONAL NEW FLYER - A SERVICE,0
TRANSIT,TR-RALEIGH-WO,PM63248,7124 - SERVICE INSPECTION,CONVENTIONAL NOVA - A SERVICE,283295,10143,7124,2023 - CONVENTIONAL NOVA - 7124,DRT RALEIGH GARAGE,ODOMETER,273152,ACTIVE,OPERATING,1558546,10000,1000,T1072337,7124 - SERVICE INSPECTION,2026-02-11 3:04,272338,1,CONVENTIONAL NOVA - B SERVICE,0
TRANSIT,TR-RALEIGH-WO,PM36641,8572 - SERVICE INSPECTION,CONVENTIONAL NOVA - A SERVICE,841510,10156,8572,2017 - CONVENTIONAL NOVA - 8572,DRT RALEIGH GARAGE,ODOMETER,831354,ACTIVE,OPERATING,1200161,10000,1000,T1072328,8572 - SERVICE INSPECTION,2026-02-11 3:01,830512,1,CONVENTIONAL NOVA - C SERVICE,0
TRANSIT,TR-WESTNEY-WO,PM62096,6120 - SERVICE INSPECTION,CONVENTIONAL NOVA HYBRID - A SERVICE,272080,10157,6120,2022 - CONVENTIONAL NOVA HYBRID - 6120,DRT WESTNEY GARAGE,ODOMETER,261923,ACTIVE,OPERATING,1540685,10000,1000,T1069831,6120 - SERVICE INSPECTION,2026-01-06 3:04,255960,36,CONVENTIONAL NOVA HYBRID - B SERVICE,0
TRANSIT,TR-RALEIGH-WO,PM37207,4103 - SERVICE INSPECTION,ADMIN - B SERVICE,48954,5188,4103,2019 - FORD F-350 - 4103,DRT RALEIGH GARAGE,ODOMETER,43766,ACTIVE,OPERATING,1200334,5000,1000,T1070360,4103 - SERVICE INSPECTION,2026-01-15 3:02,43140,28,ADMIN - A SERVICE,0
TRANSIT,TR-WESTNEY-WO,PM62119,6123 - SERVICE INSPECTIONS,CONVENTIONAL NOVA HYBRID - B SERVICE,155989,10331,6123,2022 - CONVENTIONAL NOVA HYBRID - 6123,DRT WESTNEY GARAGE,ODOMETER,145658,ACTIVE,OPERATING,1540690,10000,1000,T1072403,6123 - SERVICE INSPECTIONS,2026-02-12 3:04,145656,0,CONVENTIONAL NOVA HYBRID - A SERVICE,0
TRANSIT,TR-WESTNEY-WO,PM36457,8523 - SERVICE INSPECTION,CONVENTIONAL NEW FLYER - A SERVICE,1106341,10332,8523,2012 - CONVENTIONAL NEW FLYER - 8523,DRT WESTNEY GARAGE,ODOMETER,1096009,ACTIVE,OPERATING,1200115,10000,1000,T1072326,8523 - SERVICE INSPECTION,2026-02-11 3:01,1095425,1,CONVENTIONAL NEW FLYER - D SERVICE,0
TRANSIT,TR-WESTNEY-WO,PM61475,7120 - SERVICE INSPECTION,CONVENTIONAL NOVA - A SERVICE,379419,10346,7120,2022 - CONVENTIONAL NOVA - 7120,DRT WESTNEY GARAGE,ODOMETER,369073,ACTIVE,OPERATING,1250281,10000,1000,T1072402,7120 - SERVICE INSPECTION,2026-02-12 3:04,368682,0,CONVENTIONAL NOVA - B SERVICE,0
TRANSIT,TR-WESTNEY-WO,PM37372,7115 - SERVICE INSPECTION,CONVENTIONAL NOVA - C SERVICE,414709,10355,7115,2021 - CONVENTIONAL NOVA - 7115,DRT WESTNEY GARAGE,ODOMETER,404354,ACTIVE,OPERATING,1200439,10000,1000,T1072401,7115 - SERVICE INSPECTION,2026-02-12 3:03,403875,0,CONVENTIONAL NOVA - A SERVICE,0
